platform,source_id,source_url,source_title_or_caption,author_or_channel,sport,event_name,source_timestamp,records_collected
YouTube,tJGtNUfTRyY,https://www.youtube.com/watch?v=tJGtNUfTRyY,"INDIA vs Srilanka Women Asian Games Final 2026 Full Highlights, IND W VS SL W Final Full Highlight",Sports Edge Cricket,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,xxOfBc0l6m8,https://www.youtube.com/watch?v=xxOfBc0l6m8,India vs srilanka women final match highlights|woman asian game2026#indiawoman #srilankawoman #India,GK GS FACTS,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,18
YouTube,T2f06FBa2_8,https://www.youtube.com/watch?v=T2f06FBa2_8,India w vs Sri Lanka w Asian Games FINAL Full Highlights | IND vs SL Final Last Over Full Highlights,Cric7 Videos,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260921,0
YouTube,ZS5uqWYx5_A,https://www.youtube.com/watch?v=ZS5uqWYx5_A,"India vs Srilanka women Asian Games Final 2026 full Highlights, Ind w vs Sl w Final Full Highlights",Sports Edge Cricket,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260921,4
YouTube,XPaUAuiMLOA,https://www.youtube.com/watch?v=XPaUAuiMLOA,India-W's GOLD At Asian Games 2026 LIVE 🔴: Women's Cricket Team Beats Sri Lanka in Final 2026-09-22 14:24,Asianet News English,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,rFWnBMG6gz4,https://www.youtube.com/watch?v=rFWnBMG6gz4,Asian Games 2026: India Women's Cricket Team Beats Sri Lanka By 147 Runs For First Gold | WION,WION,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,6
YouTube,J_gLtLPuuDQ,https://www.youtube.com/watch?v=J_gLtLPuuDQ,Asian Games 2026: Smriti Mandhana stars as India retain women's cricket gold medal,Republic World,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,FWJGnrEGy7I,https://www.youtube.com/watch?v=FWJGnrEGy7I,Asian Games 2026: India Win First Gold | Women’s Cricket Team Beat Sri Lanka By 147 Runs | News18,CNN-News18,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,3
YouTube,FqndewxMEbk,https://www.youtube.com/watch?v=FqndewxMEbk,Asian Games 2026: India Win First Gold As Women Beat Sri Lanka | Indian Women Cricket Team,India Today,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,1
YouTube,Iqnenvo8K1E,https://www.youtube.com/watch?v=Iqnenvo8K1E,Asian Games 2026: Indian Women's Cricket Team Wins India's First Gold Medal,DD India,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,2
YouTube,yNRPjYUmM58,https://www.youtube.com/watch?v=yNRPjYUmM58,Asian Games 2026 Day 3: Women's Cricket Gold Medal Bout & Historic India-Japan T20I,DD India,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,4
YouTube,h_1GnC28TpU,https://www.youtube.com/watch?v=h_1GnC28TpU,BREAKING LIVE: India Shines At Asian Games As Women's Cricket Team Wins First Gold Medal,moneycontrol,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,1
